city,county,2010 population,2000 population,percent change,2010 land area in sq mi,2010 land area in sq km,density
Ingallston,Menominee,935,"1,042",?10.3%,70.89,183.6,13.2/sq mi (5.1/km2)
Ingersoll,Midland,"2,751","3,018",?8.8%,36.46,94.4,75.5/sq mi (29.1/km2)
Ingham,Ingham,"2,452","2,061",19.00%,32.67,84.6,75.1/sq mi (29.0/km2)
Inkster,Wayne,"25,369","30,115",?15.8%,6.25,16.2,"4,059.0/sq mi (1,567.2/km2)"
Inland,Benzie,"2,070","1,587",30.40%,35.77,92.6,57.9/sq mi (22.3/km2)
Interior,Ontonagon,336,375,?10.4%,86.42,223.8,3.9/sq mi (1.5/km2)
Inverness,Cheboygan,"2,261","2,278",?0.7%,33.86,87.7,66.8/sq mi (25.8/km2)
Inwood,Schoolcraft,733,722,1.50%,120.22,311.4,6.1/sq mi (2.4/km2)
IoniaCounty seat,Ionia,"11,394","10,569",7.80%,5.35,13.9,"2,129.7/sq mi (822.3/km2)"
Ionia,Ionia,"3,779","3,669",3.00%,33.5,87,112.8/sq mi (43.6/km2)
Iosco,Livingston,"3,801","3,039",25.10%,35.19,91.1,108.0/sq mi (41.7/km2)
Ira,St. Clair,"5,178","6,966",?25.7%,17.03,44.1,304.1/sq mi (117.4/km2)
Iron MountainCounty seat,Dickinson,"7,624","8,154",?6.5%,7.37,19.1,"1,034.5/sq mi (399.4/km2)"
Iron River,Iron,"3,029","1,929",57.00%,6.74,17.5,449.4/sq mi (173.5/km2)
Iron River,Iron,"1,027","1,585",?35.2%,238.25,617.1,4.3/sq mi (1.7/km2)
Ironwood,Gogebic,"5,387","6,293",?14.4%,6.42,16.6,839.1/sq mi (324.0/km2)
Ironwood,Gogebic,"2,333","2,330",0.10%,175.4,454,13.3/sq mi (5.1/km2)
Irving,Barry,"3,250","2,682",21.20%,35.76,92.6,90.9/sq mi (35.1/km2)
Isabella,Isabella,"2,253","2,145",5.00%,36.32,94.1,62.0/sq mi (24.0/km2)
Ishpeming,Marquette,"6,470","6,686",?3.2%,8.74,22.6,740.3/sq mi (285.8/km2)
Ishpeming,Marquette,"3,513","3,522",?0.3%,86.29,223.5,40.7/sq mi (15.7/km2)
IthacaCounty seat,Gratiot,"2,910","3,098",?6.1%,5.23,13.5,556.4/sq mi (214.8/km2)
JacksonCounty seat,Jackson,"33,534","36,316",?7.7%,10.86,28.1,"3,087.8/sq mi (1,192.2/km2)"
James,Saginaw,"2,023","1,930",4.80%,16.74,43.4,120.8/sq mi (46.7/km2)
Jamestown,Ottawa,"7,034","5,062",39.00%,35.38,91.6,198.8/sq mi (76.8/km2)
Jasper,Midland,"1,180","1,145",3.10%,35.92,93,32.9/sq mi (12.7/km2)
Jefferson,Cass,"2,541","2,401",5.80%,34.74,90,73.1/sq mi (28.2/km2)
Jefferson,Hillsdale,"3,063","3,141",?2.5%,35.49,91.9,86.3/sq mi (33.3/km2)
Jerome,Midland,"4,796","4,888",?1.9%,31.61,81.9,151.7/sq mi (58.6/km2)
Johnstown,Barry,"3,008","3,067",?1.9%,34.95,90.5,86.1/sq mi (33.2/km2)
Jonesfield,Saginaw,"1,667","1,710",?2.5%,25.2,65,66.2/sq mi (25.5/km2)
Jonesville,Hillsdale,"2,258","2,337",?3.4%,2.89,7.5,781.3/sq mi (301.7/km2)
Jordan,Antrim,992,875,13.40%,35.08,90.9,28.3/sq mi (10.9/km2)
Joyfield,Benzie,799,777,2.80%,19.92,51.6,40.1/sq mi (15.5/km2)
Juniata,Tuscola,"1,567","1,673",?6.3%,34.76,90,45.1/sq mi (17.4/km2)
KalamazooCounty seat,Kalamazoo,"74,262","77,145",?3.7%,24.68,63.9,"3,009.0/sq mi (1,161.8/km2)"
Kalamazoo,Kalamazoo,"21,918","21,675",1.10%,11.68,30.3,"1,876.5/sq mi (724.5/km2)"
Kalamo,Eaton,"1,842","1,742",5.70%,36.6,95,50.3/sq mi (19.4/km2)
Kaleva,Manistee,470,509,?7.7%,1.1,2.8,427.3/sq mi (165.0/km2)
KalkaskaCounty seat,Kalkaska,"2,020","2,226",?9.3%,3.12,8.1,647.4/sq mi (250.0/km2)
Kalkaska,Kalkaska,"4,722","4,830",?2.2%,70.44,182.4,67.0/sq mi (25.9/km2)
Kasson,Leelanau,"1,609","1,577",2.00%,35.91,93,44.8/sq mi (17.3/km2)
Kawkawlin,Bay,"4,848","5,104",?5.0%,32.41,83.9,149.6/sq mi (57.8/km2)
Kearney,Antrim,"1,765","1,764",0.10%,34.24,88.7,51.5/sq mi (19.9/km2)
Keego Harbor,Oakland,"2,970","2,769",7.30%,0.5,1.3,"5,940.0/sq mi (2,293.4/km2)"
Keeler,Van Buren,"2,169","2,601",?16.6%,33.73,87.4,64.3/sq mi (24.8/km2)
Keene,Ionia,"1,831","1,660",10.30%,35.58,92.2,51.5/sq mi (19.9/km2)
Kenockee,St. Clair,"2,470","2,423",1.90%,35.65,92.3,69.3/sq mi (26.8/km2)
Kent City,Kent,"1,057","1,061",?0.4%,1.32,3.4,800.8/sq mi (309.2/km2)
Kentwood,Kent,"48,707","45,255",7.60%,20.9,54,"2,330.5/sq mi (899.8/km2)"
Kimball,St. Clair,"9,358","8,628",8.50%,37.14,96.2,252.0/sq mi (97.3/km2)
Kinde,Huron,448,534,?16.1%,1.18,3.1,379.7/sq mi (146.6/km2)
Kinderhook,Branch,"1,497","1,614",?7.2%,19.47,50.4,76.9/sq mi (29.7/km2)
Kingsford,Dickinson,"5,133","5,549",?7.5%,4.32,11.2,"1,188.2/sq mi (458.8/km2)"
Kingsley,Grand Traverse,"1,480","1,469",0.70%,1.42,3.7,"1,042.3/sq mi (402.4/km2)"
Kingston,Tuscola,440,450,?2.2%,1.02,2.6,431.4/sq mi (166.6/km2)
Kingston,Tuscola,"1,574","1,615",?2.5%,34.82,90.2,45.2/sq mi (17.5/km2)
Kinross,Chippewa,"7,561","5,922",27.70%,119.72,310.1,63.2/sq mi (24.4/km2)
Klacking,Ogemaw,614,617,?0.5%,35.89,93,17.1/sq mi (6.6/km2)
Kochville,Saginaw,"5,078","3,241",56.70%,18.57,48.1,273.5/sq mi (105.6/km2)
Koehler,Cheboygan,"1,283","1,168",9.80%,43.56,112.8,29.5/sq mi (11.4/km2)
Koylton,Tuscola,"1,585","1,579",0.40%,34.91,90.4,45.4/sq mi (17.5/km2)
Krakow,Presque Isle,705,622,13.30%,55.66,144.2,12.7/sq mi (4.9/km2)
Lafayette,Gratiot,591,656,?9.9%,36,93,16.4/sq mi (6.3/km2)
LaGrange,Cass,"3,500","3,340",4.80%,33.18,85.9,105.5/sq mi (40.7/km2)
Laingsburg,Shiawassee,"1,283","1,223",4.90%,1.47,3.8,872.8/sq mi (337.0/km2)
Laird,Houghton,555,634,?12.5%,187.3,485,3.0/sq mi (1.1/km2)
Lake,Benzie,759,635,19.50%,23.39,60.6,32.4/sq mi (12.5/km2)
Lake,Berrien,"2,972","3,148",?5.6%,18.62,48.2,159.6/sq mi (61.6/km2)
Lake,Huron,855,996,?14.2%,20.51,53.1,41.7/sq mi (16.1/km2)
Lake,Lake,862,849,1.50%,33.89,87.8,25.4/sq mi (9.8/km2)
Lake,Menominee,556,576,?3.5%,70.74,183.2,7.9/sq mi (3.0/km2)
Lake,Missaukee,"2,800","2,468",13.50%,31.57,81.8,88.7/sq mi (34.2/km2)
Lake,Roscommon,"1,215","1,351",?10.1%,23.06,59.7,52.7/sq mi (20.3/km2)
Lake Angelus,Oakland,290,326,?11.0%,1.07,2.8,271.0/sq mi (104.6/km2)
Lake Ann,Benzie,268,276,?2.9%,0.45,1.2,595.6/sq mi (229.9/km2)
Lake CityCounty seat,Missaukee,836,923,?9.4%,1.05,2.7,796.2/sq mi (307.4/km2)
Lakefield,Luce,"1,061","1,074",?1.2%,63.18,163.6,16.8/sq mi (6.5/km2)
Lakefield,Saginaw,"1,029","1,030",?0.1%,24.08,62.4,42.7/sq mi (16.5/km2)
Lake Isabella,Isabella,"1,681",0,NA,3.51,9.1,478.9/sq mi (184.9/km2)
Lake Linden,Houghton,"1,007","1,081",?6.8%,0.77,2,"1,307.8/sq mi (504.9/km2)"
Lake Odessa,Ionia,"2,018","2,272",?11.2%,0.89,2.3,"2,267.4/sq mi (875.5/km2)"
Lake Orion,Oakland,"2,973","2,715",9.50%,0.79,2,"3,763.3/sq mi (1,453.0/km2)"
Laketon,Muskegon,"7,563","7,363",2.70%,17.45,45.2,433.4/sq mi (167.3/km2)
Laketown,Allegan,"5,505","5,561",?1.0%,21.55,55.8,255.5/sq mi (98.6/km2)
Lakeview,Montcalm,"1,007","1,112",?9.4%,1.52,3.9,662.5/sq mi (255.8/km2)
Lakewood Club,Muskegon,"1,291","1,006",28.30%,1.91,4.9,675.9/sq mi (261.0/km2)
Lamotte,Sanilac,919,981,?6.3%,35.45,91.8,25.9/sq mi (10.0/km2)
L'AnseCounty seat,Baraga,"2,011","2,107",?4.6%,2.53,6.6,794.9/sq mi (306.9/km2)
L'Anse,Baraga,"3,843","3,926",?2.1%,247.4,640.8,15.5/sq mi (6.0/km2)
LansingState capital,"Ingham, Clinton, Eaton","114,297","119,128",?4.1%,36.05,93.4,"3,170.5/sq mi (1,224.1/km2)"
Lansing,Ingham,"8,126","8,458",?3.9%,4.93,12.8,"1,648.3/sq mi (636.4/km2)"
LapeerCounty seat,Lapeer,"8,841","9,072",?2.5%,7.13,18.5,"1,240.0/sq mi (478.8/km2)"
Lapeer,Lapeer,"5,056","5,078",?0.4%,29.99,77.7,168.6/sq mi (65.1/km2)
Larkin,Midland,"5,136","4,514",13.80%,32.09,83.1,160.0/sq mi (61.8/km2)
La Salle,Monroe,"4,894","5,001",?2.1%,26.57,68.8,184.2/sq mi (71.1/km2)
Lathrup Village,Oakland,"4,075","4,236",?3.8%,1.5,3.9,"2,716.7/sq mi (1,048.9/km2)"
Laurium,Houghton,"1,977","2,126",?7.0%,0.65,1.7,"3,041.5/sq mi (1,174.3/km2)"
Lawrence,Van Buren,996,"1,059",?5.9%,1.71,4.4,582.5/sq mi (224.9/km2)
Lawrence,Van Buren,"3,259","3,341",?2.5%,34.62,89.7,94.1/sq mi (36.3/km2)
Lawton,Van Buren,"1,900","1,859",2.20%,2.32,6,819.0/sq mi (316.2/km2)
Leavitt,Oceana,891,845,5.40%,29.33,76,30.4/sq mi (11.7/km2)
Lebanon,Clinton,605,705,?14.2%,35.1,91,17.2/sq mi (6.7/km2)
Lee,Allegan,"4,015","4,114",?2.4%,35.18,91.1,114.1/sq mi (44.1/km2)
Lee,Calhoun,"1,213","1,257",?3.5%,36.22,93.8,33.5/sq mi (12.9/km2)
Lee,Midland,"4,315","4,411",?2.2%,35.62,92.3,121.1/sq mi (46.8/km2)
Leelanau,Leelanau,"2,027","2,139",?5.2%,49.15,127.3,41.2/sq mi (15.9/km2)
Leighton,Allegan,"4,934","3,652",35.10%,34.87,90.3,141.5/sq mi (54.6/km2)
Leland,Leelanau,"2,043","2,033",0.50%,45.37,117.5,45.0/sq mi (17.4/km2)
Lennon,"Genesee, Shiawassee",511,517,?1.2%,0.91,2.4,561.5/sq mi (216.8/km2)
Lenox,Macomb,"10,470","8,433",24.20%,38.71,100.3,270.5/sq mi (104.4/km2)
Leonard,Oakland,403,332,21.40%,0.96,2.5,419.8/sq mi (162.1/km2)
Leoni,Jackson,"13,807","13,459",2.60%,48.54,125.7,284.4/sq mi (109.8/km2)
Leonidas,St. Joseph,"1,185","1,239",?4.4%,35.51,92,33.4/sq mi (12.9/km2)
Leroy,Calhoun,"3,712","3,240",14.60%,36,93,103.1/sq mi (39.8/km2)
Leroy,Ingham,"3,530","3,653",?3.4%,34.13,88.4,103.4/sq mi (39.9/km2)
LeRoy,Osceola,256,267,?4.1%,0.97,2.5,263.9/sq mi (101.9/km2)
LeRoy,Osceola,"1,212","1,159",4.60%,35,91,34.6/sq mi (13.4/km2)
Leslie,Ingham,"1,851","2,044",?9.4%,1.29,3.3,"1,434.9/sq mi (554.0/km2)"
Leslie,Ingham,"2,389","2,327",2.70%,34.9,90,68.5/sq mi (26.4/km2)
Lexington,Sanilac,"1,178","1,104",6.70%,1.4,3.6,841.4/sq mi (324.9/km2)
Lexington,Sanilac,"3,658","3,688",?0.8%,36.04,93.3,101.5/sq mi (39.2/km2)
Liberty,Jackson,"2,961","2,903",2.00%,34.27,88.8,86.4/sq mi (33.4/km2)
Liberty,Wexford,861,800,7.60%,36.51,94.6,23.6/sq mi (9.1/km2)
Lilley,Newaygo,797,788,1.10%,30.41,78.8,26.2/sq mi (10.1/km2)
Lima,Washtenaw,"3,307","3,224",2.60%,34.53,89.4,95.8/sq mi (37.0/km2)
Limestone,Alger,438,407,7.60%,74.23,192.3,5.9/sq mi (2.3/km2)
Lincoln,Alcona,337,364,?7.4%,0.83,2.1,406.0/sq mi (156.8/km2)
Lincoln,Arenac,942,"1,522",?38.1%,21,54,44.9/sq mi (17.3/km2)
Lincoln,Berrien,"14,691","13,952",5.30%,17.91,46.4,820.3/sq mi (316.7/km2)
Lincoln,Clare,"1,824","1,758",3.80%,35.08,90.9,52.0/sq mi (20.1/km2)
Lincoln,Huron,807,873,?7.6%,35.48,91.9,22.7/sq mi (8.8/km2)
Lincoln,Isabella,"2,115","1,936",9.20%,36.12,93.6,58.6/sq mi (22.6/km2)
Lincoln,Midland,"2,474","2,277",8.70%,23.31,60.4,106.1/sq mi (41.0/km2)
Lincoln,Newaygo,"1,275","1,338",?4.7%,34.35,89,37.1/sq mi (14.3/km2)
Lincoln,Osceola,"1,500","1,629",?7.9%,35.13,91,42.7/sq mi (16.5/km2)
Lincoln Park,Wayne,"38,144","40,008",?4.7%,5.89,15.3,"6,476.1/sq mi (2,500.4/km2)"
Linden,Genesee,"3,991","2,861",39.50%,2.36,6.1,"1,691.1/sq mi (652.9/km2)"
Litchfield,Hillsdale,"1,369","1,458",?6.1%,2.5,6.5,547.6/sq mi (211.4/km2)
Litchfield,Hillsdale,"1,003",969,3.50%,32.97,85.4,30.4/sq mi (11.7/km2)
Littlefield,Emmet,"2,978","2,783",7.00%,21.72,56.3,137.1/sq mi (52.9/km2)
Little Traverse,Emmet,"2,380","2,426",?1.9%,17.96,46.5,132.5/sq mi (51.2/km2)
Livingston,Otsego,"2,525","2,339",8.00%,33.77,87.5,74.8/sq mi (28.9/km2)
Livonia,Wayne,"96,942","100,545",?3.6%,35.7,92,"2,715.5/sq mi (1,048.4/km2)"
Locke,Ingham,"1,791","1,671",7.20%,35.84,92.8,50.0/sq mi (19.3/km2)
Lockport,St. Joseph,"3,787","3,814",?0.7%,28.6,74,132.4/sq mi (51.1/km2)
Lodi,Washtenaw,"6,058","5,710",6.10%,34.27,88.8,176.8/sq mi (68.3/km2)
Logan,Mason,312,329,?5.2%,36.02,93.3,8.7/sq mi (3.3/km2)
Logan,Ogemaw,551,581,?5.2%,35.23,91.2,15.6/sq mi (6.0/km2)
London,Monroe,"3,048","3,024",0.80%,35.76,92.6,85.2/sq mi (32.9/km2)
Long Lake,Grand Traverse,"8,662","7,648",13.30%,29.9,77,289.7/sq mi (111.9/km2)
Long Rapids,Alpena,"1,010","1,019",?0.9%,54.19,140.4,18.6/sq mi (7.2/km2)
Loud,Montmorency,293,284,3.20%,35.77,92.6,8.2/sq mi (3.2/km2)
Lovells,Crawford,626,578,8.30%,100.55,260.4,6.2/sq mi (2.4/km2)
Lowell,Kent,"3,783","4,013",?5.7%,2.87,7.4,"1,318.1/sq mi (508.9/km2)"
Lowell,Kent,"5,949","5,219",14.00%,32.57,84.4,182.7/sq mi (70.5/km2)
LudingtonCounty seat,Mason,"8,076","8,357",?3.4%,3.37,8.7,"2,396.4/sq mi (925.3/km2)"
Luna Pier,Monroe,"1,436","1,483",?3.2%,1.5,3.9,957.3/sq mi (369.6/km2)
Luther,Lake,318,339,?6.2%,0.92,2.4,345.7/sq mi (133.5/km2)
Lyndon,Washtenaw,"2,720","2,728",?0.3%,32.02,82.9,84.9/sq mi (32.8/km2)
Lynn,St. Clair,"1,229","1,187",3.50%,35.72,92.5,34.4/sq mi (13.3/km2)
Lyon,Oakland,"14,545","11,041",31.70%,30.95,80.2,470.0/sq mi (181.4/km2)
Lyon,Roscommon,"1,370","1,462",?6.3%,29.98,77.6,45.7/sq mi (17.6/km2)
Lyons,Ionia,789,726,8.70%,1.22,3.2,646.7/sq mi (249.7/km2)
Lyons,Ionia,"3,465","3,446",0.60%,35.92,93,96.5/sq mi (37.2/km2)
McBain,Missaukee,656,584,12.30%,1.25,3.2,524.8/sq mi (202.6/km2)
McBride,Montcalm,205,232,?11.6%,0.38,0.98,539.5/sq mi (208.3/km2)
Mackinac Island,Mackinac,492,523,?5.9%,4.35,11.3,113.1/sq mi (43.7/km2)
Mackinaw,Cheboygan,539,576,?6.4%,11.41,29.6,47.2/sq mi (18.2/km2)
Mackinaw City,"Cheboygan, Emmet",806,859,?6.2%,3.38,8.8,238.5/sq mi (92.1/km2)
McKinley,Emmet,"1,297","1,269",2.20%,35.11,90.9,36.9/sq mi (14.3/km2)
McKinley,Huron,445,503,?11.5%,20.18,52.3,22.1/sq mi (8.5/km2)
McMillan,Luce,"2,692","3,947",?31.8%,588.78,"1,524.90",4.6/sq mi (1.8/km2)
McMillan,Ontonagon,478,601,?20.5%,70.43,182.4,6.8/sq mi (2.6/km2)
Macomb,Macomb,"79,580","50,478",57.70%,36.23,93.8,"2,196.5/sq mi (848.1/km2)"
Macon,Lenawee,"1,486","1,448",2.60%,32.68,84.6,45.5/sq mi (17.6/km2)
Madison,Lenawee,"8,621","8,200",5.10%,30.39,78.7,283.7/sq mi (109.5/km2)
Madison Heights,Oakland,"29,694","31,101",?4.5%,7.09,18.4,"4,188.2/sq mi (1,617.1/km2)"
Mancelona,Antrim,"1,390","1,408",?1.3%,1,2.6,"1,390.0/sq mi (536.7/km2)"
Mancelona,Antrim,"4,400","4,100",7.30%,71.14,184.3,61.8/sq mi (23.9/km2)
Manchester,Washtenaw,"2,091","2,160",?3.2%,2.12,5.5,986.3/sq mi (380.8/km2)
Manchester,Washtenaw,"4,569","4,102",11.40%,37.86,98.1,120.7/sq mi (46.6/km2)
ManisteeCounty seat,Manistee,"6,226","6,586",?5.5%,3.29,8.5,"1,892.4/sq mi (730.7/km2)"
Manistee,Manistee,"4,084","3,764",8.50%,44.38,114.9,92.0/sq mi (35.5/km2)
ManistiqueCounty seat,Schoolcraft,"3,097","3,583",?13.6%,3.19,8.3,970.8/sq mi (374.8/km2)
Manistique,Schoolcraft,"1,095","1,053",4.00%,149.34,386.8,7.3/sq mi (2.8/km2)
Manlius,Allegan,"3,017","2,634",14.50%,35.18,91.1,85.8/sq mi (33.1/km2)
Mansfield,Iron,241,243,?0.8%,99.08,256.6,2.4/sq mi (0.9/km2)
Manton,Wexford,"1,287","1,221",5.40%,1.56,4,825.0/sq mi (318.5/km2)
Maple Forest,Crawford,653,498,31.10%,35.3,91,18.5/sq mi (7.1/km2)
Maple Grove,Barry,"1,593","1,471",8.30%,35.89,93,44.4/sq mi (17.1/km2)
Maple Grove,Manistee,"1,316","1,285",2.40%,35.57,92.1,37.0/sq mi (14.3/km2)
Maple Grove,Saginaw,"2,668","2,640",1.10%,35.8,93,74.5/sq mi (28.8/km2)
Maple Rapids,Clinton,672,643,4.50%,1.36,3.5,494.1/sq mi (190.8/km2)
Maple Ridge,Alpena,"1,690","1,715",?1.5%,51.62,133.7,32.7/sq mi (12.6/km2)
Maple Ridge,Delta,766,808,?5.2%,108.26,280.4,7.1/sq mi (2.7/km2)
Maple River,Emmet,"1,348","1,232",9.40%,35.32,91.5,38.2/sq mi (14.7/km2)
Maple Valley,Montcalm,"1,944","2,083",?6.7%,35.32,91.5,55.0/sq mi (21.3/km2)
Maple Valley,Sanilac,"1,221","1,114",9.60%,34.51,89.4,35.4/sq mi (13.7/km2)
Marathon,Lapeer,"4,568","4,701",?2.8%,32.85,85.1,139.1/sq mi (53.7/km2)
Marcellus,Cass,"1,198","1,162",3.10%,0.58,1.5,"2,065.5/sq mi (797.5/km2)"
Marcellus,Cass,"2,539","2,712",?6.4%,33.2,86,76.5/sq mi (29.5/km2)
Marengo,Calhoun,"2,213","2,131",3.80%,35.04,90.8,63.2/sq mi (24.4/km2)
Marenisco,Gogebic,"1,727","1,051",64.30%,310.89,805.2,5.6/sq mi (2.1/km2)
Marilla,Manistee,393,362,8.60%,35.47,91.9,11.1/sq mi (4.3/km2)
Marine City,St. Clair,"4,248","4,652",?8.7%,2.15,5.6,"1,975.8/sq mi (762.9/km2)"
Marion,Charlevoix,"1,714","1,492",14.90%,25.57,66.2,67.0/sq mi (25.9/km2)
Marion,Livingston,"9,996","6,757",47.90%,34.9,90,286.4/sq mi (110.6/km2)
Marion,Osceola,872,836,4.30%,1.35,3.5,645.9/sq mi (249.4/km2)
Marion,Osceola,"1,692","1,580",7.10%,37.01,95.9,45.7/sq mi (17.7/km2)
Marion,Saginaw,923,925,?0.2%,24.38,63.1,37.9/sq mi (14.6/km2)
Marion,Sanilac,"1,659","1,803",?8.0%,36.08,93.4,46.0/sq mi (17.8/km2)
Markey,Roscommon,"2,360","2,424",?2.6%,28.73,74.4,82.1/sq mi (31.7/km2)
Marlette,Sanilac,"1,875","2,104",?10.9%,1.64,4.2,"1,143.3/sq mi (441.4/km2)"
Marlette,Sanilac,"1,763","2,051",?14.0%,52.43,135.8,33.6/sq mi (13.0/km2)
Marquette,Mackinac,603,659,?8.5%,97.05,251.4,6.2/sq mi (2.4/km2)
MarquetteCounty seat,Marquette,"21,355","19,661",8.60%,11.39,29.5,"1,874.9/sq mi (723.9/km2)"
Marquette,Marquette,"3,905","3,286",18.80%,55.3,143,70.6/sq mi (27.3/km2)
MarshallCounty seat,Calhoun,"7,088","7,459",?5.0%,6.28,16.3,"1,128.7/sq mi (435.8/km2)"
Marshall,Calhoun,"3,115","2,922",6.60%,31.13,80.6,100.1/sq mi (38.6/km2)
Martin,Allegan,410,435,?5.7%,0.78,2,525.6/sq mi (203.0/km2)
Martin,Allegan,"2,629","2,514",4.60%,35.53,92,74.0/sq mi (28.6/km2)
Martiny,Mecosta,"1,625","1,606",1.20%,31.98,82.8,50.8/sq mi (19.6/km2)
Marysville,St. Clair,"9,959","9,684",2.80%,7.31,18.9,"1,362.4/sq mi (526.0/km2)"
Mason,Arenac,851,994,?14.4%,32.05,83,26.6/sq mi (10.3/km2)
Mason,Cass,"2,945","2,514",17.10%,20.22,52.4,145.6/sq mi (56.2/km2)
MasonCounty seat,Ingham,"8,252","6,714",22.90%,5.1,13,"1,618.0/sq mi (624.7/km2)"
Masonville,Delta,"1,734","1,877",?7.6%,167.8,435,10.3/sq mi (4.0/km2)
Mastodon,Iron,656,668,?1.8%,126.5,328,5.2/sq mi (2.0/km2)
Matchwood,Ontonagon,94,115,?18.3%,109.52,283.7,0.9/sq mi (0.3/km2)
Mathias,Alger,554,571,?3.0%,70.68,183.1,7.8/sq mi (3.0/km2)
Mattawan,Van Buren,"1,997","2,536",?21.3%,3.81,9.9,524.1/sq mi (202.4/km2)
Matteson,Branch,"1,218","1,285",?5.2%,35.77,92.6,34.1/sq mi (13.1/km2)
Maybee,Monroe,562,505,11.30%,1,2.6,562.0/sq mi (217.0/km2)
Mayfield,Grand Traverse,"1,550","1,271",22.00%,35.92,93,43.2/sq mi (16.7/km2)
Mayfield,Lapeer,"7,955","7,659",3.90%,33.12,85.8,240.2/sq mi (92.7/km2)
Mayville,Tuscola,950,"1,055",?10.0%,1.13,2.9,840.7/sq mi (324.6/km2)
Meade,Huron,720,799,?9.9%,35.64,92.3,20.2/sq mi (7.8/km2)
Meade,Mason,181,287,?36.9%,37.47,97,4.8/sq mi (1.9/km2)
Mecosta,Mecosta,457,440,3.90%,1.12,2.9,408.0/sq mi (157.5/km2)
Mecosta,Mecosta,"2,615","2,435",7.40%,34.03,88.1,76.8/sq mi (29.7/km2)
Medina,Lenawee,"1,090","1,227",?11.2%,47.54,123.1,22.9/sq mi (8.9/km2)
Mellen,Menominee,"1,150","1,260",?8.7%,30.8,80,37.3/sq mi (14.4/km2)
Melrose,Charlevoix,"1,403","1,388",1.10%,32.98,85.4,42.5/sq mi (16.4/km2)
Melvin,Sanilac,180,160,12.50%,0.97,2.5,185.6/sq mi (71.6/km2)
Melvindale,Wayne,"10,715","10,735",?0.2%,2.72,7,"3,939.3/sq mi (1,521.0/km2)"
Memphis,"Macomb, St. Clair","1,183","1,129",4.80%,1.12,2.9,"1,056.3/sq mi (407.8/km2)"
Mendon,St. Joseph,870,917,?5.1%,1.01,2.6,861.4/sq mi (332.6/km2)
Mendon,St. Joseph,"2,719","2,775",?2.0%,34.95,90.5,77.8/sq mi (30.0/km2)
MenomineeCounty seat,Menominee,"8,599","9,131",?5.8%,5.15,13.3,"1,669.7/sq mi (644.7/km2)"
Menominee,Menominee,"3,488","3,939",?11.4%,72.7,188,48.0/sq mi (18.5/km2)
Mentor,Cheboygan,818,781,4.70%,35.7,92,22.9/sq mi (8.8/km2)
Mentor,Oscoda,"1,143","1,220",?6.3%,142.06,367.9,8.0/sq mi (3.1/km2)
Meridian,Ingham,"39,688","39,116",1.50%,30.49,79,"1,301.7/sq mi (502.6/km2)"
Merrill,Newaygo,667,590,13.10%,31.92,82.7,20.9/sq mi (8.1/km2)
Merrill,Saginaw,778,782,?0.5%,0.7,1.8,"1,111.4/sq mi (429.1/km2)"
Merritt,Bay,"1,441","1,510",?4.6%,31.64,81.9,45.5/sq mi (17.6/km2)
Mesick,Wexford,394,447,?11.9%,1.29,3.3,305.4/sq mi (117.9/km2)
Metamora,Lapeer,565,507,11.40%,0.83,2.1,680.7/sq mi (262.8/km2)
Metamora,Lapeer,"4,249","4,184",1.60%,34.21,88.6,124.2/sq mi (48.0/km2)
Metz,Presque Isle,302,331,?8.8%,35.58,92.2,8.5/sq mi (3.3/km2)
Meyer,Menominee,"1,001","1,036",?3.4%,89.69,232.3,11.2/sq mi (4.3/km2)
Michiana,Berrien,182,200,?9.0%,0.37,0.96,491.9/sq mi (189.9/km2)
Michigamme,Marquette,349,377,?7.4%,133.19,345,2.6/sq mi (1.0/km2)
Middle Branch,Osceola,843,858,?1.7%,35.5,92,23.7/sq mi (9.2/km2)
Middlebury,Shiawassee,"1,510","1,491",1.30%,24.76,64.1,61.0/sq mi (23.5/km2)
Middleville,Barry,"3,319","2,721",22.00%,2.28,5.9,"1,455.7/sq mi (562.0/km2)"
MidlandCounty seat,"Midland, Bay","41,863","41,685",0.40%,33.69,87.3,"1,242.6/sq mi (479.8/km2)"
Midland,Midland,"2,287","2,297",?0.4%,7.63,19.8,299.7/sq mi (115.7/km2)
Mikado,Alcona,947,"1,043",?9.2%,71.36,184.8,13.3/sq mi (5.1/km2)
Milan,Monroe,"1,601","1,670",?4.1%,34.18,88.5,46.8/sq mi (18.1/km2)
Milan,"Washtenaw, Monroe","5,836","4,775",22.20%,3.32,8.6,"1,757.8/sq mi (678.7/km2)"
Milford,Oakland,"6,175","6,272",?1.5%,2.43,6.3,"2,541.2/sq mi (981.1/km2)"
Milford,Oakland,"15,736","15,271",3.00%,32.99,85.4,477.0/sq mi (184.2/km2)
Millbrook,Mecosta,"1,113","1,081",3.00%,35.77,92.6,31.1/sq mi (12.0/km2)
Millen,Alcona,404,463,?12.7%,70.78,183.3,5.7/sq mi (2.2/km2)
Millersburg,Presque Isle,206,263,?21.7%,0.99,2.6,208.1/sq mi (80.3/km2)
Millington,Tuscola,"1,072","1,137",?5.7%,1.35,3.5,794.1/sq mi (306.6/km2)
Millington,Tuscola,"4,354","4,459",?2.4%,35.44,91.8,122.9/sq mi (47.4/km2)
Mills,Midland,"1,939","1,871",3.60%,35.56,92.1,54.5/sq mi (21.1/km2)
